name,library_type,address,homepage_url,lat,lng
덕정도서관,공공도서관,경기도 양주시 화합로1371번길 11,https://www.libyj.go.kr/djlib/index.do,37.84288046,127.0631905
덕진품애작은도서관,작은도서관,전북특별자치도 전주시 덕진구 기린대로 541-11,http://www.youthvision.kr,35.8451605,127.1201715
"덕포1동 어린이복합문화공간 그리며, 들락날락 작은도서관",작은도서관,부산광역시 사상구 강선로 31 (덕포동),,35.1692156,128.9857149
도계도서관,공공도서관,강원특별자치도 삼척시 도계읍 도계느티로 25-18,,37.2323751,129.0497029
도곡2동 작은도서관,작은도서관,서울특별시 강남구 남부순환로378길 34-9(도곡2동주민센터 1층),https://library.gangnam.go.kr/small,37.48372308,127.046407
도곡정보문화도서관,공공도서관,"서울특별시 강남구 도곡로18길 57, 3~6층",https://library.gangnam.go.kr/dogoklib/index.do,37.4883103,127.0388804
도는풍차작은도서관,작은도서관,"대전광역시 중구 문화로 104, (문화동) 지하 1층",,36.31192293,127.3971955
도담도담 한옥도서관,작은도서관,서울특별시 종로구 숭인동길 43,http://lib.jongno.go.kr/,37.5769278,127.0218396
도담도담어린이도서관,작은도서관,광주광역시 북구 우치로 45(중흥동),https://www.smalllibrary.org/library/detail/1048482,35.17171831,126.9115915
도담동도서관,공공도서관,세종특별자치시 보람로77,https://lib.sejong.go.kr/dodam/,36.51540546,127.2617462
도당도서관,공공도서관,경기도 부천시 원미구 부천로 360(도당동),www.bcl.go.kr,37.5161009,126.7851703
도란도란쉼터작은도서관,작은도서관,"서울특별시 강서구 허준로 30, 가양1동주민센터 2층",http://lib.gangseo.seoul.kr,37.56948645,126.8447061
도란도란작은도서관 (부산),작은도서관,부산광역시 강서구 명지국제5로 165,,35.10998668,128.92137
도란도란작은도서관 (부천),작은도서관,경기도 부천시 오정구 고리울로 79,www.bcl.go.kr,37.52706253,126.8248197
도란도란작은도서관 (서울),작은도서관,"서울특별시 금천구 독산로36길 14, 1층",https://geumcheonlib.seoul.kr,37.45897879,126.9061844
도래샘 작은도서관,작은도서관,부산광역시 영도구 중복길 458(신선동1가),,35.08875384,129.0482886
도리샘작은도서관,작은도서관,"서울특별시 강서구 허준로 202, 가양3동주민센터 2층",http://lib.gangseo.seoul.kr,37.56108734,126.8605599
도봉 기적의 도서관,공공도서관,서울특별시 도봉구 도봉구 마들로 797,,37.6807721,127.0502436
도봉1동 공립 작은도서관,작은도서관,서울특별시 도봉구 도봉구 도봉로169 나길 22,,37.6786704,127.0433569
도봉2동 공립 작은도서관,작은도서관,서울특별시 도봉구 도봉구 마들로 668,,37.6696229,127.0465415
도봉구청사 행복작은도서관,작은도서관,서울특별시 도봉구 도봉구 마들로 656,,37.6686287,127.0470496
도봉문화정보도서관(어린이열람실),공공도서관,서울특별시 도봉구 도봉구 덕릉로 315 (창동),http://www.unilib.dobong.kr/,37.6445808,127.0438827
도봉문화정보도서관(종합자료실),공공도서관,서울특별시 도봉구 도봉구 덕릉로 315 (창동),http://www.unilib.dobong.kr/,37.6445808,127.0438827
도봉어린이문화정보도서관(디지털자료실),공공도서관,서울특별시 도봉구 도봉구 노해로69길 151,http://www.unilib.dobong.kr/,37.6590072,127.0494699
도봉어린이문화정보도서관(영 유아),공공도서관,서울특별시 도봉구 도봉구 노해로69길 151,http://www.unilib.dobong.kr/,37.6590072,127.0494699
"도봉어린이문화정보센터(자료열람실, 잉글리시 아일랜드)",공공도서관,서울특별시 도봉구 도봉구 노해로69길 151,http://www.unilib.dobong.kr/,37.6590072,127.0494699
도산도서관,공공도서관,울산광역시 남구 번영로54번길 6,http://ulsannamgu.go.kr/library/main.do,35.530808,129.331343
도솔도서관,공공도서관,충청남도 천안시 서북구 번영로 156,http://www.cheonan.go.kr/lib.do,36.81612985,127.113047
도척작은도서관,작은도서관,경기도 광주시 도척면 노곡로 20,http://lib.gjcity.go.kr,37.3048153,127.3311699
